b,c,k,A
-148.5,506.0,10,"((0, 0), (1, 0), (2, 1), (4, 7), (6, 3))"
0.5,-3.0,3,"((0, 0), (0, 1), (1, 0), (1, 1), (2, 5))"
-160.0,342.0,12,"((0, 2), (1, 0), (1, 1), (1, 11), (4, 11))"
-446.5,2029.0,14,"((0, 0), (1, 1), (2, 1), (8, 11), (9, 4))"
1.5,1.0,1,"((0, 0), (0, 1), (1, 1), (2, 0), (3, 1))"
-326.5,1091.0,13,"((0, 0), (1, 1), (1, 10), (2, 1), (6, 9))"
-39.5,58.0,6,"((0, 0), (1, 0), (2, 1), (5, 5), (8, 11))"
-4.0,6.0,2,"((0, 0), (1, 0), (1, 1), (1, 2), (4, 4))"
-6.0,7.0,2,"((0, 0), (0, 2), (1, 0), (1, 1), (3, 4))"
-6.5,9.0,2,"((0, 0), (1, 1), (2, 1), (5, 5), (9, 9))"
0.0,2.0,1,"((0, 0), (0, 1), (0, 2), (1, 1), (3, 1))"
-18.0,31.0,4,"((0, 1), (1, 0), (1, 1), (3, 4), (4, 3))"
-90.0,205.0,7,"((0, 0), (0, 2), (1, 1), (3, 2), (3, 10))"
-76.0,156.0,6,"((0, 0), (0, 5), (1, 0), (1, 1), (5, 3))"
-34.5,55.0,4,"((0, 0), (0, 1), (1, 1), (1, 5), (4, 2))"
1.5,1.0,1,"((0, 0), (1, 0), (1, 1), (2, 3), (3, 4))"
-24.0,36.0,4,"((0, 1), (1, 0), (1, 1), (1, 4), (4, 1))"
-80.5,166.0,6,"((0, 0), (1, 0), (2, 1), (4, 5), (10, 7))"
-83.5,163.0,9,"((0, 0), (1, 0), (2, 1), (3, 3), (11, 2))"
-40.0,70.0,5,"((0, 0), (1, 0), (1, 1), (1, 5), (4, 0))"
-831.0,5581.0,25,"((0, 0), (2, 1), (3, 2), (5, 12), (9, 5))"
-1.5,3.0,1,"((0, 0), (1, 0), (1, 1), (4, 1), (4, 2))"
-12.0,16.0,3,"((0, 0), (1, 0), (1, 1), (1, 3), (4, 1))"
2.0,-1.0,2,"((0, 1), (1, 0), (1, 1), (3, 1), (4, 2))"
-1.5,3.0,1,"((0, 0), (0, 1), (1, 0), (1, 3), (2, 0))"
-282.5,-1495.0,33,"((0, 0), (2, 1), (3, 2), (7, 16), (8, 17))"
-6.0,7.0,2,"((0, 0), (0, 1), (1, 0), (1, 3), (3, 0))"
-10.0,15.0,3,"((0, 1), (1, 0), (1, 1), (1, 5), (2, 1))"
-168.0,476.0,9,"((0, 2), (1, 0), (1, 1), (1, 7), (6, 6))"
-2.0,3.0,1,"((0, 0), (1, 0), (1, 1), (3, 3), (4, 2))"
-1333.5,8691.0,24,"((0, 0), (2, 1), (2, 15), (3, 2), (9, 13))"
-40.0,70.0,5,"((0, 0), (0, 1), (1, 1), (4, 4), (5, 1))"
-53.5,101.0,5,"((0, 0), (1, 5), (2, 1), (3, 2), (5, 2))"
-38.0,61.0,4,"((0, 0), (1, 1), (2, 1), (7, 3), (8, 6))"
-302.0,971.0,13,"((0, 0), (1, 1), (2, 1), (6, 0), (6, 10))"
-82.5,177.0,6,"((0, 0), (0, 1), (1, 0), (4, 5), (5, 0))"
-4.0,6.0,2,"((0, 1), (1, 0), (1, 1), (3, 2), (5, 4))"
3.5,-3.0,2,"((0, 0), (0, 1), (1, 0), (1, 1), (4, 0))"
-26.5,39.0,4,"((0, 0), (0, 1), (1, 1), (4, 0), (5, 3))"
-14.5,19.0,3,"((0, 1), (1, 0), (1, 1), (4, 2), (4, 4))"
-6.5,3.0,4,"((0, 0), (1, 0), (1, 1), (3, 1), (5, 5))"
-2.5,1.0,3,"((0, 0), (0, 2), (1, 0), (1, 1), (4, 1))"
-62.5,125.0,6,"((0, 0), (1, 0), (1, 1), (1, 5), (5, 0))"
-183.0,571.0,19,"((0, 0), (0, 11), (1, 1), (1, 11), (2, 1))"
-302.5,1155.0,12,"((0, 0), (0, 10), (1, 1), (2, 1), (5, 5))"
-4.0,6.0,2,"((0, 0), (1, 0), (1, 1), (1, 2), (4, 2))"
-134.5,381.0,8,"((0, 0), (0, 5), (1, 1), (2, 1), (7, 3))"
-538.0,1961.0,19,"((0, 0), (1, 1), (3, 2), (3, 12), (7, 0))"
-180.0,590.0,10,"((0, 0), (1, 1), (1, 10), (2, 1), (4, 4))"
-18.0,25.0,3,"((0, 1), (1, 0), (1, 1), (4, 3), (4, 5))"
3.5,-3.0,2,"((0, 0), (0, 1), (1, 1), (3, 4), (4, 5))"
-48.0,86.0,5,"((0, 0), (0, 2), (1, 1), (2, 1), (11, 5))"
-118.5,285.0,9,"((0, 0), (1, 1), (2, 1), (9, 0), (11, 3))"
-733.5,3489.0,15,"((0, 0), (1, 1), (2, 1), (2, 10), (11, 10))"
-200.5,576.0,11,"((0, 0), (1, 1), (1, 9), (2, 1), (5, 7))"
-2.0,3.0,1,"((0, 0), (1, 1), (2, 0), (2, 1), (6, 2))"
-2280.0,15840.0,26,"((0, 0), (2, 1), (2, 13), (3, 2), (16, 4))"
-40.0,70.0,5,"((0, 0), (1, 0), (1, 1), (1, 4), (5, 0))"
-26.5,39.0,4,"((0, 0), (0, 1), (1, 1), (3, 4), (5, 2))"
2.5,1.0,1,"((0, 0), (0, 1), (1, 0), (2, 0), (3, 0))"
-11.5,10.0,4,"((0, 0), (0, 1), (1, 0), (1, 4), (3, 5))"
-16.0,20.0,3,"((0, 0), (0, 1), (1, 0), (2, 3), (4, 0))"
-5514.0,65311.0,37,"((0, 0), (0, 17), (3, 2), (5, 3), (17, 12))"
-70.5,141.0,6,"((0, 0), (0, 1), (0, 5), (1, 0), (5, 2))"
-18.0,-27.0,8,"((0, 2), (1, 0), (1, 1), (1, 9), (2, 10))"
-414.0,1681.0,12,"((0, 0), (1, 1), (2, 1), (8, 10), (10, 4))"
-670.5,3193.0,17,"((0, 2), (1, 0), (1, 1), (6, 9), (9, 0))"
-4.5,1.0,4,"((0, 0), (0, 3), (1, 0), (1, 3), (2, 1))"
-180.0,820.0,13,"((0, 0), (0, 10), (1, 1), (2, 1), (3, 1))"
-3.0,3.0,3,"((0, 1), (1, 0), (1, 1), (3, 3), (4, 3))"
-39.5,58.0,6,"((0, 0), (0, 1), (1, 0), (1, 4), (5, 1))"
3.0,0.0,1,"((0, 0), (1, 0), (1, 1), (2, 1), (4, 3))"
-2.0,3.0,1,"((0, 1), (1, 0), (1, 1), (2, 2), (3, 5))"
-6.5,9.0,2,"((0, 0), (0, 1), (1, 1), (3, 5), (4, 5))"
-30.0,45.0,4,"((0, 0), (1, 0), (1, 1), (3, 5), (4, 1))"
-178.0,501.0,9,"((0, 0), (1, 1), (2, 1), (6, 0), (9, 7))"
0.0,2.0,1,"((0, 0), (1, 0), (1, 1), (2, 0), (5, 1))"
2.5,1.0,1,"((0, 0), (0, 1), (1, 0), (1, 1), (2, 1))"
-3030.0,22925.0,33,"((0, 0), (1, 1), (3, 2), (3, 17), (15, 5))"
-62.5,125.0,6,"((0, 0), (1, 0), (1, 1), (2, 5), (5, 0))"
1.5,1.0,1,"((0, 0), (0, 1), (1, 1), (2, 0), (4, 0))"
-2206.5,15389.0,25,"((0, 0), (3, 2), (5, 3), (17, 16), (26, 13))"
-430.0,1459.0,19,"((0, 0), (2, 1), (3, 2), (4, 14), (7, 11))"
-279.0,828.0,17,"((0, 5), (0, 6), (1, 3), (3, 0), (5, 12))"
1.5,1.0,1,"((0, 0), (1, 0), (1, 1), (2, 2), (3, 1))"
1.5,1.0,1,"((0, 0), (0, 1), (0, 3), (1, 0), (1, 2))"
-8.5,10.0,2,"((0, 0), (0, 1), (0, 3), (1, 0), (3, 2))"
-4.5,6.0,2,"((0, 0), (1, 0), (1, 1), (3, 0), (3, 3))"
-1030.5,5585.0,18,"((0, 0), (3, 2), (5, 3), (14, 6), (25, 3))"
-30.5,51.0,4,"((0, 0), (0, 1), (1, 1), (2, 3), (5, 0))"
-18.0,25.0,3,"((0, 0), (0, 1), (1, 1), (2, 3), (4, 0))"
-4.5,6.0,2,"((0, 1), (0, 4), (1, 0), (1, 1), (2, 2))"
-880.0,4510.0,17,"((0, 0), (1, 0), (2, 1), (8, 10), (11, 0))"
-10.0,15.0,3,"((0, 1), (1, 0), (1, 1), (1, 5), (2, 4))"
-92.5,42.0,12,"((0, 0), (1, 1), (2, 5), (2, 13), (3, 2))"
-154.0,651.0,12,"((0, 0), (0, 9), (1, 5), (2, 1), (3, 2))"
-30.0,-151.0,14,"((0, 0), (2, 1), (2, 2), (3, 2), (15, 17))"
-29.5,-3.0,8,"((0, 0), (1, 0), (2, 1), (11, 1), (11, 2))"
-24.0,36.0,4,"((0, 0), (0, 1), (1, 1), (4, 4), (5, 2))"
3.5,-3.0,2,"((0, 0), (0, 1), (1, 0), (4, 0), (5, 0))"
0.0,-2.0,3,"((0, 0), (0, 2), (1, 0), (1, 1), (4, 0))"
-0.5,2.0,1,"((0, 1), (0, 3), (1, 0), (1, 1), (2, 2))"
-348.0,1246.0,11,"((0, 0), (1, 1), (2, 1), (4, 8), (9, 2))"
-4046.5,37651.0,37,"((0, 5), (0, 15), (1, 3), (3, 0), (14, 23))"
0.5,0.0,2,"((0, 0), (0, 1), (1, 0), (2, 1), (3, 3))"
1.0,0.0,2,"((0, 0), (0, 1), (1, 1), (2, 4), (3, 5))"
-2.0,-7.0,4,"((0, 0), (0, 2), (1, 0), (1, 1), (5, 0))"
-18.0,25.0,3,"((0, 0), (0, 4), (1, 0), (1, 1), (3, 2))"
-6.0,7.0,2,"((0, 0), (0, 1), (1, 0), (1, 3), (3, 3))"
-1.5,3.0,1,"((0, 2), (1, 0), (1, 1), (2, 2), (3, 3))"
-1617.0,8737.0,63,"((0, 3), (1, 2), (2, 0), (13, 16), (14, 15))"
-4.0,6.0,2,"((0, 0), (0, 1), (0, 4), (1, 0), (1, 4))"
-10.0,9.0,4,"((0, 1), (0, 2), (1, 0), (1, 2), (5, 3))"
-1.5,3.0,1,"((0, 0), (3, 2), (5, 3), (6, 4), (19, 12))"
-90.0,205.0,7,"((0, 0), (1, 1), (1, 6), (2, 1), (5, 5))"
-54.0,95.0,5,"((0, 0), (1, 1), (3, 2), (4, 1), (14, 8))"
-26.5,39.0,4,"((0, 0), (0, 3), (1, 0), (1, 1), (5, 2))"
-16.0,20.0,3,"((0, 1), (1, 0), (1, 1), (3, 3), (4, 0))"
-40.5,64.0,4,"((0, 0), (1, 0), (2, 1), (9, 3), (9, 5))"
1.5,1.0,1,"((0, 0), (0, 1), (0, 2), (1, 0), (2, 1))"
-56.5,92.0,7,"((0, 0), (1, 1), (2, 1), (3, 5), (5, 0))"
1.5,1.0,1,"((0, 0), (1, 0), (1, 1), (1, 3), (1, 5))"
-62.5,125.0,6,"((0, 0), (0, 1), (0, 5), (1, 1), (5, 0))"
-6.5,9.0,2,"((0, 0), (0, 1), (1, 1), (2, 1), (9, 4))"
0.0,2.0,1,"((0, 0), (1, 0), (1, 1), (2, 3), (3, 3))"
-1758.5,12225.0,22,"((0, 0), (1, 1), (3, 2), (11, 1), (15, 16))"
-110.5,237.0,9,"((0, 0), (1, 1), (2, 1), (7, 8), (10, 7))"
-6.5,3.0,4,"((0, 0), (0, 1), (0, 5), (1, 1), (2, 3))"
