b,c,k,A
-16.5,1.0,7,"((0, 0), (1, 1), (2, 1), (3, 6), (4, 7))"
0.0,2.0,1,"((0, 0), (0, 1), (0, 2), (1, 0), (1, 4))"
-204.0,580.0,11,"((0, 0), (1, 1), (2, 1), (4, 9), (8, 8))"
-270.0,927.0,11,"((0, 0), (1, 1), (2, 1), (2, 7), (9, 9))"
-22.5,35.0,4,"((0, 1), (1, 0), (1, 1), (2, 4), (4, 2))"
-2.0,3.0,1,"((0, 0), (0, 1), (1, 1), (1, 3), (3, 2))"
2.0,1.0,1,"((0, 0), (0, 1), (1, 1), (2, 2), (2, 3))"
-182.5,505.0,8,"((0, 0), (1, 1), (2, 1), (3, 5), (9, 0))"
0.0,2.0,1,"((0, 0), (1, 0), (1, 1), (1, 2), (3, 3))"
-94.5,261.0,8,"((0, 0), (1, 1), (2, 1), (6, 3), (9, 9))"
1.5,1.0,1,"((0, 0), (0, 1), (1, 0), (1, 1), (2, 3))"
-12.0,16.0,3,"((0, 1), (0, 3), (1, 0), (1, 1), (4, 1))"
-19.5,26.0,3,"((0, 0), (1, 0), (2, 1), (4, 0), (9, 3))"
1.0,0.0,2,"((0, 0), (0, 1), (1, 1), (1, 2), (4, 3))"
-20.5,26.0,5,"((0, 1), (1, 0), (1, 1), (3, 0), (4, 4))"
-2.0,3.0,1,"((0, 0), (0, 1), (1, 0), (2, 2), (3, 0))"
-431.5,1660.0,14,"((0, 1), (0, 2), (1, 0), (1, 8), (9, 9))"
0.0,2.0,1,"((0, 0), (1, 1), (1, 2), (2, 1), (2, 4))"
3.0,0.0,1,"((0, 0), (0, 1), (1, 1), (1, 2), (3, 3))"
-0.5,2.0,1,"((0, 1), (0, 2), (1, 0), (1, 2), (2, 4))"
-1.5,3.0,1,"((0, 0), (2, 1), (3, 2), (4, 3), (13, 10))"
-1174.5,10991.0,28,"((0, 0), (2, 1), (3, 2), (4, 12), (9, 6))"
-4.0,6.0,2,"((0, 0), (0, 1), (0, 2), (1, 0), (2, 4))"
-28.5,19.0,8,"((0, 0), (1, 1), (2, 1), (5, 4), (6, 8))"
-33.5,71.0,5,"((0, 0), (1, 0), (2, 1), (7, 7), (9, 8))"
-1650.0,10605.0,20,"((0, 0), (3, 2), (5, 3), (10, 8), (10, 23))"
-317.5,1157.0,11,"((0, 0), (1, 1), (2, 1), (4, 9), (7, 1))"
-6.0,7.0,2,"((0, 0), (0, 2), (1, 0), (1, 1), (4, 2))"
-115.5,290.0,10,"((0, 0), (1, 0), (2, 1), (3, 7), (5, 1))"
-36.0,66.0,5,"((0, 0), (1, 1), (2, 1), (4, 1), (8, 6))"
-108.0,386.0,10,"((0, 0), (0, 6), (1, 1), (2, 1), (2, 7))"
-12.0,16.0,3,"((0, 0), (1, 0), (1, 1), (1, 4), (3, 2))"
-6.5,9.0,2,"((0, 0), (0, 1), (0, 2), (1, 0), (4, 1))"
-102.5,221.0,9,"((0, 0), (1, 0), (2, 1), (4, 4), (9, 1))"
-4.0,6.0,2,"((0, 0), (0, 1), (0, 2), (1, 1), (4, 0))"
-4.0,6.0,2,"((0, 0), (0, 1), (0, 2), (1, 0), (4, 0))"
-84.0,196.0,7,"((0, 0), (0, 4), (1, 0), (2, 1), (6, 4))"
1.5,1.0,1,"((0, 0), (1, 0), (1, 1), (2, 3), (2, 4))"
-0.5,2.0,1,"((0, 0), (0, 1), (0, 3), (1, 1), (2, 3))"
-48.0,86.0,5,"((0, 0), (0, 2), (1, 1), (2, 1), (6, 8))"
2.5,1.0,1,"((0, 0), (0, 1), (0, 2), (1, 0), (1, 1))"
0.0,2.0,1,"((0, 0), (1, 0), (1, 1), (2, 2), (2, 4))"
-6.0,7.0,2,"((0, 0), (0, 1), (1, 1), (1, 3), (3, 0))"
4.0,-9.0,3,"((0, 0), (1, 0), (1, 1), (2, 1), (6, 1))"
-141.5,427.0,12,"((0, 0), (1, 0), (1, 7), (2, 1), (4, 8))"
-505.0,2136.0,15,"((0, 1), (0, 2), (1, 0), (7, 0), (8, 9))"
2.5,1.0,1,"((0, 0), (0, 1), (1, 0), (1, 1), (2, 0))"
-10.0,15.0,3,"((0, 0), (1, 1), (2, 1), (3, 1), (7, 5))"
-6.0,7.0,2,"((0, 0), (0, 1), (1, 0), (2, 2), (4, 0))"
-160.0,460.0,9,"((0, 0), (1, 0), (2, 1), (8, 0), (8, 5))"
2.5,1.0,1,"((0, 1), (1, 0), (1, 1), (2, 0), (2, 1))"
-156.0,386.0,10,"((0, 0), (2, 1), (3, 2), (10, 11), (13, 11))"
-15.5,-2.0,6,"((0, 0), (1, 0), (2, 1), (7, 7), (7, 8))"
0.0,2.0,1,"((0, 0), (1, 1), (2, 1), (2, 2), (4, 1))"
-4.5,6.0,2,"((0, 0), (1, 0), (1, 1), (2, 3), (3, 0))"
1.5,1.0,1,"((0, 0), (1, 0), (1, 1), (3, 2), (4, 2))"
-213.0,526.0,16,"((0, 0), (2, 1), (3, 2), (8, 12), (11, 13))"
-317.5,1097.0,11,"((0, 0), (1, 1), (2, 1), (2, 7), (9, 1))"
-264.0,1036.0,12,"((0, 0), (2, 1), (3, 2), (8, 4), (12, 12))"
2.0,1.0,1,"((0, 0), (0, 1), (0, 2), (1, 0), (1, 2))"
-28.0,56.0,5,"((0, 0), (2, 1), (3, 2), (4, 2), (5, 6))"
-4.0,6.0,2,"((0, 0), (0, 4), (1, 0), (1, 1), (2, 0))"
-9.0,11.0,4,"((0, 0), (0, 1), (1, 0), (2, 4), (3, 4))"
-46.0,79.0,5,"((0, 1), (0, 2), (1, 0), (2, 2), (8, 7))"
-425.0,1639.0,14,"((0, 0), (1, 1), (2, 1), (2, 9), (9, 8))"
-14.5,19.0,3,"((0, 0), (1, 0), (2, 1), (2, 3), (2, 7))"
-26.5,39.0,4,"((0, 0), (0, 1), (0, 4), (1, 0), (4, 1))"
-208.5,-704.0,26,"((0, 0), (3, 2), (5, 3), (6, 9), (11, 18))"
-58.5,90.0,8,"((0, 1), (0, 2), (1, 0), (1, 3), (8, 5))"
3.0,0.0,1,"((0, 0), (1, 0), (1, 1), (2, 1), (3, 3))"
-0.5,2.0,1,"((0, 0), (1, 0), (1, 1), (3, 1), (3, 3))"
2.0,1.0,1,"((0, 1), (1, 0), (1, 1), (1, 2), (1, 4))"
-133.5,253.0,14,"((0, 0), (2, 1), (3, 2), (6, 9), (7, 14))"
-22.0,19.0,6,"((0, 0), (2, 1), (3, 2), (10, 9), (11, 9))"
0.0,2.0,1,"((0, 0), (1, 1), (2, 1), (3, 1), (6, 3))"
-3.0,3.0,3,"((0, 1), (1, 0), (1, 1), (2, 0), (3, 3))"
-2.0,3.0,1,"((0, 1), (1, 0), (1, 1), (3, 0), (3, 2))"
-126.0,321.0,8,"((0, 0), (1, 0), (2, 1), (6, 0), (7, 6))"
-122.5,315.0,8,"((0, 0), (1, 1), (2, 1), (7, 7), (8, 3))"
-4.0,6.0,2,"((0, 0), (0, 1), (1, 0), (2, 0), (4, 2))"
-328.5,1110.0,13,"((0, 0), (1, 1), (2, 1), (7, 0), (8, 9))"
-10.0,15.0,3,"((0, 0), (0, 1), (1, 0), (2, 0), (2, 4))"
1.5,1.0,1,"((0, 0), (0, 1), (0, 2), (1, 1), (2, 3))"
2.0,1.0,1,"((0, 0), (1, 0), (1, 1), (1, 2), (2, 2))"
-8.5,10.0,2,"((0, 1), (1, 0), (1, 1), (2, 4), (3, 2))"
-50.0,-21.0,11,"((0, 0), (2, 1), (3, 2), (14, 13), (14, 14))"
3.5,-3.0,2,"((0, 0), (2, 1), (3, 2), (8, 4), (10, 5))"
-54.0,27.0,12,"((0, 0), (1, 0), (2, 1), (3, 8), (4, 9))"
-52.5,112.0,6,"((0, 0), (1, 1), (2, 1), (4, 1), (7, 7))"
0.0,2.0,1,"((0, 0), (0, 1), (1, 0), (1, 1), (3, 3))"
1.5,1.0,1,"((0, 0), (0, 1), (0, 2), (1, 1), (1, 4))"
-20.5,26.0,5,"((0, 0), (0, 1), (1, 0), (2, 4), (4, 3))"
3.0,0.0,1,"((0, 0), (0, 1), (1, 0), (1, 1), (3, 1))"
-6804.0,75726.0,37,"((0, 0), (3, 2), (5, 3), (18, 21), (24, 7))"
-4.0,0.0,4,"((0, 0), (1, 0), (2, 1), (3, 4), (5, 6))"
-2.0,3.0,1,"((0, 0), (0, 1), (1, 1), (2, 3), (4, 3))"
-141.0,399.0,10,"((0, 0), (1, 0), (2, 1), (5, 1), (5, 8))"
-50.5,89.0,5,"((0, 0), (1, 1), (1, 3), (2, 1), (9, 5))"
1.0,0.0,2,"((0, 1), (0, 2), (1, 0), (1, 1), (2, 3))"
-24.0,36.0,4,"((0, 0), (0, 4), (1, 0), (1, 1), (4, 0))"
-654.0,3295.0,15,"((0, 0), (0, 8), (2, 1), (3, 2), (10, 8))"
0.0,2.0,1,"((0, 0), (0, 1), (1, 0), (2, 1), (4, 2))"
1.5,1.0,1,"((0, 0), (1, 0), (1, 1), (2, 1), (2, 3))"
-103.5,260.0,7,"((0, 0), (1, 1), (1, 7), (2, 1), (4, 7))"
0.0,2.0,1,"((0, 1), (1, 0), (1, 1), (3, 1), (4, 0))"
-1.5,3.0,1,"((0, 0), (0, 1), (1, 1), (1, 2), (4, 2))"
3.0,0.0,1,"((0, 0), (0, 1), (0, 3), (1, 1), (1, 2))"
-19.5,26.0,3,"((0, 0), (1, 1), (2, 1), (2, 3), (7, 3))"
-6.5,9.0,2,"((0, 0), (0, 1), (1, 1), (2, 1), (9, 3))"
-6784.5,69586.0,34,"((0, 0), (3, 2), (4, 23), (5, 3), (19, 17))"
-2.0,3.0,1,"((0, 0), (0, 1), (1, 1), (3, 2), (4, 4))"
-12.0,16.0,3,"((0, 1), (1, 0), (1, 1), (3, 1), (4, 4))"
-128.0,330.0,8,"((0, 3), (1, 2), (2, 0), (2, 4), (6, 12))"
-16.0,20.0,3,"((0, 0), (0, 3), (1, 0), (1, 1), (4, 2))"
-4.0,6.0,2,"((0, 0), (0, 1), (1, 1), (4, 0), (4, 1))"
-26.5,39.0,4,"((0, 0), (0, 1), (1, 0), (1, 4), (4, 1))"
-12.0,16.0,3,"((0, 0), (0, 1), (1, 1), (4, 1), (4, 3))"
-2300.5,16476.0,27,"((0, 3), (1, 2), (1, 14), (2, 0), (14, 4))"
-10.0,15.0,3,"((0, 0), (0, 1), (1, 1), (2, 2), (4, 0))"
-102.5,221.0,9,"((0, 1), (0, 2), (1, 0), (1, 8), (4, 6))"
-6.0,-9.0,5,"((0, 0), (1, 1), (2, 0), (2, 1), (2, 6))"
-2570.0,17695.0,29,"((0, 0), (3, 2), (5, 3), (5, 20), (11, 0))"
-1.5,3.0,1,"((0, 0), (0, 3), (1, 0), (1, 1), (1, 4))"
-24.0,36.0,4,"((0, 0), (0, 1), (0, 4), (1, 1), (4, 0))"
-12.0,16.0,3,"((0, 0), (0, 1), (0, 3), (1, 0), (4, 0))"
2.0,1.0,1,"((0, 0), (0, 1), (0, 2), (1, 1), (2, 1))"
-8.5,10.0,2,"((0, 0), (1, 1), (2, 1), (3, 0), (7, 2))"
-80.0,140.0,9,"((0, 0), (0, 5), (1, 0), (2, 1), (6, 0))"
0.0,2.0,1,"((0, 0), (1, 0), (1, 1), (2, 2), (4, 2))"
-26.5,39.0,4,"((0, 1), (0, 2), (0, 5), (1, 0), (2, 8))"
-14.5,19.0,3,"((0, 0), (1, 0), (2, 1), (2, 3), (4, 8))"
-46.5,113.0,6,"((0, 0), (0, 5), (1, 0), (2, 1), (3, 2))"
2.0,1.0,1,"((0, 0), (1, 0), (1, 1), (2, 0), (3, 1))"
-4574.5,52241.0,36,"((0, 0), (3, 2), (5, 3), (8, 13), (23, 5))"
-384.0,1396.0,14,"((0, 0), (2, 1), (3, 2), (7, 8), (12, 4))"
-24.0,36.0,4,"((0, 0), (0, 3), (1, 0), (1, 1), (4, 4))"
-11.5,11.0,5,"((0, 0), (0, 4), (1, 1), (1, 4), (2, 1))"
-64.5,132.0,6,"((0, 0), (0, 3), (1, 0), (2, 1), (6, 6))"
-398.0,385.0,24,"((0, 3), (1, 2), (2, 0), (9, 2), (14, 6))"
2.5,1.0,1,"((0, 0), (0, 1), (1, 0), (1, 1), (1, 2))"
-238.0,1241.0,15,"((0, 0), (0, 8), (1, 0), (2, 1), (4, 2))"
-291.0,911.0,15,"((0, 1), (0, 2), (1, 0), (5, 7), (7, 0))"
-220.5,686.0,10,"((0, 0), (2, 1), (3, 2), (11, 9), (14, 7))"
-50.5,99.0,7,"((0, 1), (0, 2), (1, 0), (1, 2), (8, 6))"
-6.5,9.0,2,"((0, 0), (0, 1), (1, 0), (2, 0), (3, 3))"
0.0,2.0,1,"((0, 1), (1, 0), (1, 1), (1, 3), (2, 1))"
-12.0,16.0,3,"((0, 0), (1, 0), (1, 1), (2, 3), (4, 0))"
-19.5,26.0,3,"((0, 0), (0, 3), (1, 0), (1, 1), (4, 3))"
-126.0,321.0,8,"((0, 0), (0, 6), (1, 1), (2, 1), (6, 0))"
-96.0,232.0,7,"((0, 0), (0, 3), (2, 1), (3, 2), (10, 4))"
2.0,1.0,1,"((0, 1), (1, 0), (1, 1), (1, 2), (2, 3))"
-64.5,132.0,6,"((0, 0), (0, 2), (1, 1), (2, 1), (9, 8))"
-3.0,3.0,3,"((0, 1), (0, 2), (1, 0), (1, 1), (3, 3))"
-6.0,7.0,2,"((0, 0), (1, 0), (1, 1), (3, 1), (3, 4))"
-1092.0,5964.0,18,"((0, 0), (0, 9), (2, 1), (3, 2), (14, 6))"
-13.5,17.0,3,"((0, 0), (0, 1), (1, 0), (1, 3), (4, 3))"
0.0,2.0,1,"((0, 1), (1, 0), (1, 1), (1, 2), (3, 0))"
-1772.5,11492.0,25,"((0, 3), (1, 2), (2, 0), (2, 13), (13, 5))"
-19.5,26.0,3,"((0, 0), (1, 0), (1, 1), (2, 4), (4, 1))"
-134.5,351.0,8,"((0, 0), (1, 1), (2, 1), (6, 7), (7, 2))"
-520.0,2220.0,14,"((0, 0), (2, 1), (2, 9), (3, 2), (10, 9))"
-160.0,490.0,9,"((0, 0), (1, 1), (2, 1), (4, 8), (8, 9))"
-10.0,9.0,4,"((0, 0), (0, 1), (1, 0), (2, 4), (3, 2))"
-148.5,506.0,10,"((0, 3), (1, 2), (2, 0), (3, 4), (7, 9))"
-24.0,36.0,4,"((0, 1), (1, 0), (1, 1), (1, 4), (4, 3))"
-12.0,16.0,3,"((0, 1), (1, 0), (1, 1), (1, 3), (4, 1))"
-217.0,759.0,12,"((0, 1), (0, 2), (1, 0), (4, 7), (7, 4))"
-4.0,6.0,2,"((0, 1), (1, 0), (1, 1), (2, 1), (2, 4))"
-92.0,200.0,9,"((0, 0), (1, 1), (2, 1), (2, 6), (6, 9))"
-6.0,7.0,2,"((0, 1), (1, 0), (1, 1), (3, 2), (3, 4))"
-70.0,205.0,8,"((0, 0), (2, 1), (3, 2), (4, 2), (13, 2))"
-12.0,16.0,3,"((0, 0), (1, 0), (1, 1), (1, 3), (4, 3))"
-4.0,6.0,2,"((0, 0), (1, 0), (1, 1), (2, 0), (4, 4))"
3.5,-3.0,2,"((0, 0), (0, 1), (1, 0), (1, 3), (1, 4))"
1.5,1.0,1,"((0, 0), (0, 1), (1, 1), (2, 1), (3, 0))"
0.0,2.0,1,"((0, 0), (0, 1), (0, 3), (1, 1), (2, 1))"
-352.0,1486.0,17,"((0, 0), (0, 9), (1, 1), (2, 1), (6, 4))"
-13.5,17.0,3,"((0, 0), (0, 1), (1, 1), (3, 4), (4, 2))"
-218.5,709.0,10,"((0, 0), (1, 0), (2, 1), (5, 7), (9, 4))"
2.0,1.0,1,"((0, 0), (1, 0), (1, 1), (1, 2), (2, 0))"
-4.0,6.0,2,"((0, 0), (0, 4), (1, 0), (1, 1), (1, 4))"
-240.0,750.0,10,"((0, 0), (2, 1), (3, 2), (9, 0), (11, 5))"
-6.0,7.0,2,"((0, 1), (0, 4), (1, 0), (1, 1), (2, 3))"
0.0,2.0,1,"((0, 0), (0, 2), (1, 0), (1, 1), (2, 2))"
2.5,1.0,1,"((0, 1), (1, 0), (1, 1), (2, 1), (3, 1))"
-12.0,16.0,3,"((0, 0), (1, 0), (1, 1), (2, 4), (3, 0))"
-16.0,16.0,5,"((0, 0), (1, 0), (2, 1), (3, 4), (4, 8))"
-58.0,127.0,6,"((0, 3), (1, 2), (1, 3), (2, 0), (4, 8))"
-2.5,1.0,3,"((0, 0), (0, 1), (1, 0), (1, 2), (4, 4))"
-2.5,1.0,3,"((0, 0), (1, 0), (2, 1), (2, 3), (4, 5))"
-12.0,16.0,3,"((0, 0), (0, 4), (1, 0), (1, 1), (2, 4))"
-4.5,6.0,2,"((0, 0), (1, 0), (1, 1), (1, 3), (3, 4))"
-110.0,249.0,9,"((0, 0), (1, 1), (1, 8), (2, 1), (4, 6))"
-778.5,4515.0,21,"((0, 0), (3, 2), (5, 3), (20, 16), (23, 14))"
-4.0,6.0,2,"((0, 0), (0, 2), (0, 4), (1, 1), (2, 1))"
-21.5,-29.0,9,"((0, 0), (1, 1), (2, 1), (3, 2), (5, 8))"
1.5,1.0,1,"((0, 0), (0, 1), (1, 0), (1, 2), (2, 2))"
-12.0,16.0,3,"((0, 1), (1, 0), (1, 1), (1, 4), (3, 4))"
-12.0,16.0,3,"((0, 1), (1, 0), (1, 1), (1, 3), (4, 4))"
-190.0,573.0,9,"((0, 0), (1, 0), (2, 1), (5, 8), (8, 5))"
1.5,-3.0,3,"((0, 0), (1, 1), (2, 1), (4, 0), (6, 0))"
-76.0,156.0,6,"((0, 0), (1, 1), (2, 1), (2, 4), (9, 4))"
-2.0,3.0,1,"((0, 1), (1, 0), (1, 1), (1, 4), (2, 2))"
-652.0,2950.0,17,"((0, 0), (2, 1), (3, 2), (7, 13), (13, 13))"
-614.5,2721.0,14,"((0, 0), (2, 1), (3, 2), (7, 10), (11, 3))"
-11.5,10.0,4,"((0, 0), (0, 1), (1, 0), (1, 3), (4, 1))"
-1.5,3.0,1,"((0, 0), (0, 2), (1, 1), (2, 1), (3, 2))"
1.0,0.0,2,"((0, 1), (1, 0), (1, 1), (3, 2), (4, 2))"
-4130.5,35841.0,32,"((0, 0), (3, 2), (5, 3), (13, 15), (21, 2))"
-4.0,6.0,2,"((0, 1), (1, 0), (1, 1), (1, 4), (2, 1))"
-218.5,709.0,10,"((0, 0), (1, 1), (2, 1), (3, 8), (8, 9))"
-425.0,1639.0,14,"((0, 0), (0, 8), (1, 1), (2, 1), (9, 0))"
-142.5,343.0,11,"((0, 0), (1, 1), (2, 1), (4, 8), (7, 5))"
-4.0,6.0,2,"((0, 0), (1, 0), (1, 1), (1, 2), (4, 1))"
-66.0,131.0,6,"((0, 0), (1, 1), (2, 1), (8, 2), (9, 5))"
-1.5,3.0,1,"((0, 0), (1, 0), (1, 1), (2, 1), (2, 4))"
-55.5,111.0,10,"((0, 1), (0, 2), (1, 0), (1, 1), (7, 6))"
-208.5,726.0,10,"((0, 0), (2, 1), (3, 2), (6, 5), (9, 14))"
0.5,-3.0,3,"((0, 0), (1, 0), (2, 1), (2, 3), (3, 4))"
-16.0,20.0,3,"((0, 0), (1, 0), (1, 1), (3, 4), (4, 1))"
1.5,1.0,1,"((0, 1), (1, 0), (1, 1), (2, 2), (3, 2))"
2.0,1.0,1,"((0, 0), (1, 0), (1, 1), (2, 1), (4, 2))"
-6.0,7.0,2,"((0, 0), (0, 1), (1, 0), (3, 0), (4, 2))"
-25.0,19.0,6,"((0, 0), (1, 0), (2, 1), (3, 4), (8, 7))"
-11.5,10.0,4,"((0, 0), (0, 1), (1, 0), (3, 1), (4, 4))"
-150.0,395.0,8,"((0, 0), (0, 5), (1, 1), (2, 1), (7, 6))"
3.0,0.0,1,"((0, 0), (0, 1), (1, 0), (1, 1), (1, 3))"
-36.5,34.0,7,"((0, 0), (1, 1), (2, 1), (3, 0), (3, 7))"
-18.0,31.0,4,"((0, 0), (1, 0), (2, 1), (6, 6), (7, 6))"
-4.0,6.0,2,"((0, 0), (0, 1), (1, 0), (2, 2), (4, 4))"
-24.0,36.0,4,"((0, 0), (0, 4), (1, 0), (1, 1), (3, 4))"
1.5,1.0,1,"((0, 0), (0, 2), (1, 0), (1, 1), (2, 1))"
-9.0,11.0,4,"((0, 1), (0, 2), (1, 0), (1, 1), (4, 3))"
3.5,-3.0,2,"((0, 0), (1, 0), (1, 1), (2, 1), (4, 0))"
-30.0,45.0,4,"((0, 0), (0, 1), (1, 0), (2, 4), (4, 0))"
-54.0,141.0,7,"((0, 0), (1, 1), (2, 1), (3, 1), (3, 7))"
-168.0,476.0,9,"((0, 0), (1, 0), (2, 1), (7, 1), (8, 7))"
-18.0,31.0,4,"((0, 0), (1, 0), (1, 1), (1, 6), (2, 1))"
1.5,1.0,1,"((0, 0), (0, 1), (1, 1), (2, 0), (3, 1))"
-4.0,6.0,2,"((0, 0), (1, 0), (1, 1), (1, 4), (2, 0))"
-0.5,2.0,1,"((0, 0), (0, 1), (1, 0), (1, 2), (3, 2))"
-428.5,1626.0,12,"((0, 3), (1, 2), (1, 7), (2, 0), (9, 13))"
-2.0,3.0,1,"((0, 0), (0, 2), (1, 0), (1, 1), (2, 4))"
-52.5,112.0,6,"((0, 0), (1, 0), (2, 1), (5, 3), (7, 0))"
-2044.5,13716.0,22,"((0, 0), (3, 2), (5, 3), (18, 20), (24, 17))"
-2342.5,21915.0,31,"((0, 3), (1, 2), (2, 0), (11, 1), (13, 13))"
-167.5,446.0,10,"((0, 0), (1, 0), (1, 7), (2, 1), (6, 6))"
-1.5,3.0,1,"((0, 0), (0, 1), (1, 1), (1, 4), (2, 2))"
0.0,2.0,1,"((0, 1), (1, 0), (1, 1), (1, 3), (2, 2))"
-6.0,7.0,2,"((0, 0), (0, 2), (1, 0), (1, 1), (3, 4))"
-20.5,26.0,5,"((0, 0), (0, 3), (1, 0), (1, 6), (2, 1))"
0.0,2.0,1,"((0, 0), (0, 1), (0, 2), (1, 1), (3, 1))"
-18.0,31.0,4,"((0, 1), (1, 0), (1, 1), (3, 4), (4, 3))"
-36.0,66.0,5,"((0, 0), (0, 3), (1, 1), (2, 1), (4, 5))"
0.0,2.0,1,"((0, 0), (0, 1), (1, 1), (2, 2), (2, 4))"
-6.5,9.0,2,"((0, 0), (0, 1), (0, 2), (1, 0), (3, 3))"
-0.5,2.0,1,"((0, 0), (1, 1), (2, 1), (3, 3), (6, 5))"
-48.0,86.0,5,"((0, 0), (2, 1), (3, 2), (4, 6), (5, 2))"
-3480.0,27262.0,31,"((0, 0), (3, 2), (5, 3), (16, 6), (20, 24))"
-24.0,36.0,4,"((0, 1), (1, 0), (1, 1), (1, 4), (4, 1))"
1.5,1.0,1,"((0, 0), (1, 0), (1, 1), (2, 3), (3, 4))"
-54.0,95.0,5,"((0, 0), (1, 1), (2, 1), (2, 4), (8, 9))"
-3630.0,38565.0,38,"((0, 0), (3, 2), (5, 3), (8, 12), (23, 7))"
-1.5,3.0,1,"((0, 0), (1, 0), (1, 2), (2, 1), (2, 4))"
-1.5,3.0,1,"((0, 0), (1, 0), (1, 1), (4, 1), (4, 2))"
-7.0,-22.0,6,"((0, 0), (1, 0), (1, 4), (2, 1), (2, 7))"
-613.5,2699.0,16,"((0, 1), (0, 2), (1, 0), (8, 0), (9, 9))"
-30.5,51.0,4,"((0, 0), (1, 0), (1, 3), (2, 1), (2, 9))"
-112.0,296.0,8,"((0, 0), (1, 0), (2, 1), (7, 7), (8, 4))"
-18.0,25.0,3,"((0, 0), (0, 1), (1, 0), (2, 4), (3, 0))"
-66.0,91.0,9,"((0, 0), (1, 1), (2, 1), (8, 6), (8, 9))"
-1.5,3.0,1,"((0, 0), (0, 1), (1, 0), (1, 3), (2, 0))"
-1.5,3.0,1,"((0, 0), (1, 0), (1, 1), (2, 0), (4, 3))"
-0.5,2.0,1,"((0, 0), (0, 1), (1, 1), (1, 3), (3, 3))"
-100.0,230.0,7,"((0, 0), (1, 0), (2, 1), (8, 5), (9, 9))"
-61.5,169.0,7,"((0, 0), (1, 0), (2, 1), (2, 7), (3, 2))"
-148.5,506.0,10,"((0, 0), (1, 1), (1, 6), (2, 1), (5, 8))"
-20.0,20.0,5,"((0, 0), (0, 5), (1, 1), (2, 1), (2, 4))"
-34.5,55.0,4,"((0, 0), (0, 4), (1, 0), (1, 1), (4, 3))"
-362.5,1433.0,16,"((0, 0), (1, 1), (1, 9), (2, 1), (7, 5))"
-244.0,812.0,12,"((0, 0), (1, 0), (2, 1), (4, 8), (7, 2))"
-10.0,11.0,2,"((0, 0), (0, 1), (1, 1), (2, 4), (4, 3))"
-192.0,550.0,9,"((0, 0), (0, 3), (1, 2), (2, 0), (8, 11))"
-4.0,6.0,2,"((0, 0), (0, 1), (1, 1), (2, 1), (7, 4))"
-6.0,-29.0,7,"((0, 0), (2, 1), (3, 2), (10, 4), (14, 5))"
-18.0,25.0,3,"((0, 0), (0, 1), (1, 0), (2, 4), (4, 4))"
-14.5,19.0,3,"((0, 1), (0, 3), (1, 0), (1, 1), (4, 2))"
-1200.0,6532.0,17,"((0, 3), (0, 9), (1, 2), (2, 0), (14, 8))"
-85.0,175.0,8,"((0, 0), (2, 1), (3, 2), (11, 4), (13, 7))"
1.5,1.0,1,"((0, 0), (0, 3), (1, 0), (1, 1), (1, 2))"
3.5,-3.0,2,"((0, 0), (0, 1), (1, 0), (1, 1), (4, 0))"
3.0,0.0,1,"((0, 0), (1, 0), (1, 1), (3, 1), (4, 1))"
-14.5,19.0,3,"((0, 1), (1, 0), (1, 1), (4, 2), (4, 4))"
-24.0,36.0,4,"((0, 0), (0, 1), (1, 1), (4, 0), (4, 3))"
-4.5,6.0,2,"((0, 0), (1, 0), (1, 1), (1, 3), (3, 2))"
-84.0,172.0,6,"((0, 0), (0, 2), (2, 1), (3, 2), (14, 8))"
-22.5,35.0,4,"((0, 0), (0, 1), (1, 0), (3, 0), (3, 4))"
-12.0,16.0,3,"((0, 0), (0, 1), (1, 1), (1, 4), (3, 1))"
-334.0,1321.0,12,"((0, 0), (2, 1), (3, 2), (7, 3), (11, 13))"
-26.5,39.0,4,"((0, 1), (0, 4), (1, 0), (1, 1), (4, 2))"
-31.0,13.0,9,"((0, 1), (0, 2), (1, 0), (3, 6), (3, 9))"
-2.5,1.0,3,"((0, 0), (0, 2), (1, 0), (1, 1), (4, 1))"
1.5,1.0,1,"((0, 0), (0, 1), (1, 0), (1, 2), (2, 0))"
2.0,1.0,1,"((0, 0), (1, 0), (1, 1), (2, 2), (3, 4))"
-1.5,3.0,1,"((0, 0), (1, 0), (1, 1), (4, 3), (4, 4))"
0.0,2.0,1,"((0, 0), (1, 0), (1, 1), (1, 2), (3, 2))"
-6.0,7.0,2,"((0, 0), (0, 1), (1, 0), (3, 1), (3, 3))"
-4.0,6.0,2,"((0, 0), (1, 0), (1, 1), (1, 2), (4, 2))"
-12.0,16.0,3,"((0, 0), (0, 1), (1, 1), (2, 3), (4, 1))"
-26.0,41.0,4,"((0, 0), (1, 0), (2, 1), (3, 4), (7, 6))"
2.0,1.0,1,"((0, 0), (0, 1), (0, 2), (1, 1), (2, 2))"
-8.5,10.0,2,"((0, 0), (0, 3), (1, 0), (1, 1), (3, 2))"
-6.0,7.0,2,"((0, 0), (1, 0), (1, 1), (3, 4), (4, 3))"
-2.5,1.0,3,"((0, 0), (1, 0), (1, 1), (3, 1), (4, 4))"
-4.0,6.0,2,"((0, 0), (0, 1), (1, 1), (2, 1), (3, 4))"
3.5,-3.0,2,"((0, 1), (0, 2), (1, 0), (1, 1), (1, 4))"
3.5,-3.0,2,"((0, 1), (1, 0), (1, 1), (2, 0), (4, 1))"
-50.5,83.0,7,"((0, 0), (0, 3), (1, 0), (2, 1), (5, 6))"
